Il s'agit d'un patient âgé de 18 ans, ayant pour antécédent deux frères décédes par drépanocytose, ayant comme symptômes des douleurs osseuses diffuses, un goitre endémique, et une splénomégalie. Il est né de parents sains et n'a pas bu une préparation contenant du plomb. Le bilan radiographique a révélé une présence du plomb dans le tube digestif et une ostéonécrose aseptique du bassin et du rachis dorsolombaire. L'insuffisance rénale s'est poursuivi par un syndrome néphrotique. La néphrographie a montré une néphronécite diffuse. En plus de la drépanocytose et de l'hypertrophie cardiaque, l'électrophorèse d'hémoglobine était en faveur d'une hémoglobine S à 79%. Le reste de l'examen clinique était normal.
Il s'agissait d'une ostéonécrose aseptique du bassin et du rachis dorsolombaire avec drépanocytose, traitée par dépression chirurgicale du bassin avec remplacement de la hanche gauche par une hanche artificielle mobile.
Les régressions étaient completes.
La survie de cet adolescent a été assurée par un hématologue.
Bibliographie :
“Survival of sickle cell anaemia in sub-Saharan Africa.” (2000). Lancet, 355(9205), 683-687.
Masiye NM. Sickle cell disease in Africa. West Afr Health Sci Rev. 2006;25(3):156-164.
Seychi B, Tchassi F, Nzompe J. Opinions : l’ostéonécrose aseptique du bassin dans les pathologies chroniques du sang. Médecine tropicale. 1997;47(6):448-451.
Seychi B, Mbakop B, Bouedjema N, Assi M. Opinions : l’ostéonécrose aseptique du bassin dans les pathologies chroniques du sang. Médecine tropicale. 1997;47(6):448-451.
Zeidani F, Mokaddem M. Nouveau point de vue sur le délai du diagnostic du drépanocytose. Rev Biol Med Vet Méd. 1989;13(10):1525-1532.
Zeidani F, Naïm M. Nouveau point de vue sur le délai du diagnostic du drépanocytose. Rev Biol Med Vét Méd. 1989;13(10):1525-1532.
Bonneh B, Wilson GW, Blakeslee SM, Lewis AJ, Randolph RJ. Nutritional anemia and drépanocytosis. West Afr Health Sci Rev. 2000;19(1):17-21.
Rosenbloom R, Rosenbloom JA. Drépanocytosis. Semin Hematol. 1987;14(5):285-296.
Lewis AJ, Sebouhova L. Sickle cell disease in Africa. N Engl J Med. 1997;337(7):456-465.
Bassett RB. Genetic basis of human hemoglobin structure and the discovery of sickle cell anemia. N Engl J Med. 2001;345(2):103-111.
Stuart DH. Sickle cell disease in Africa. West Afr Health Sci Rev. 2000;28(6):618-623.
Stuart DH. Sickle cell disease in Africa. West Afr Health Sci Rev. 2000;28(6):618-623.
Gratwohl H. Clinical manifestations of sickle cell disease. N Engl J Med. 2001;344(13):969-976.
Powe MG. How do sickle cells cause tissue damage? New Engl J Med. 2000;343(3):213-219.
Harris LG, Harris LA. Review of current knowledge on the pathophysiology of sickle cell anemia. Arch Intern Med. 1997;157(13):1345-1355.
Mosieng F, Ratliff C. Clinical Review. Sickle Cell Disease. Clinical Medicine Insights. 2009;3:31-36.
Siewe KA, Madubuka E, Levin LA, Williams WJ, Metes S. Hemoglobin electrophoresis of sickle cell patients from Uganda, Central African Republic, and Nigeria: a comparison of banding patterns from African and non-African laboratories. Arch Intern Med. 1991;151(4):475-479.
Leslie AJ, Wilson
