Observation n° 2 Patient âgé de 18 ans, de sexe masculin et de deux frères décédes par drépanocytose, il est originaire de la région du Massif du Held. C’est un cas nouveau d’intoxication au plomb chez un patient porteur de la drépanocytose. Il s’est présenté aux urgences pour des douleurs osseuses diffuses et une anémie ferriprive. Il rapporte avoir bu une préparation contenant du plomb à la suite d’un traitement sans ordonnance proposé par un pharmacien non diplômé. Le bilan radiographique en fait a révélé la présence du plomb dans le tube digestif. L'examen clinique est sans particularité. L’échographie pelvienne et l’échographie thoracique ont montré une ostéonécrose aseptique surtout au niveau de la tête fémorale. La radiographie du bassin et celle du rachis dorsolombaire a montré une ostéonécrose aseptique avec une dilatation des deux vertèbres dorsales. Il a bénéficié d’une chirurgie réparatrice de l’os fémoral au niveau de la tête fémorale. L'analyse du plasma du patient a révélé la présence du plomb. Le diagnostic de drépanocytose a été posé après avoir révélé par l'électrophorèse d'hémoglobine une hémoglobine S à 79%. L'hémoglobine C n'a pas été retrouvée. La symptomatologie a été associée à une dégradation de l'état général. Le patient est décédé dans les 6 mois de l’évolution.

Références:
1. WHO. Avance diagnostique et thérapeutique pour la chirurgie d’urgence et les traumatismes. 1996.
2. Ramón B, Stanger A, Pardo JM. Lead-induced osteomyelitis: an epidemic in Cuba. The Lancet. 1989; 2(8652): 720-3.
3. Gelb CA. Lead encephalopathy and myelopathy: a review. Medicine. 1993; 72(1): 33-40.
4. Karube M, Itoh M, Hayashi K. Lead encephalopathy presenting as incoordination of gait in an 11-year-old child. Neuropediatrics. 1994; 25(1): 55-7.
5. Hammond PJ. Lead poisoning in Great Britain. Public Health. 1995; 109(3): 167-73.
6. Mann J. Lead poisoning and disease: lessons from a 25-year review. Occup Med. 1996; 11(1): 79-89.
7. Abusayour R, Maza M. Altered mental status and lead poisoning in a child. Arch Dis Child. 1995; 73(6): 511-2.
8. Knuuttila J, Halkilahti K, Honkanen M, et al. Lead intoxication in the southern province of Finland. Human & Experimental Toxicology. 1995; 14(6): 565-71.
9. Steinbrenner H, Friedrich HJ, Vogelsang H, et al. Symptoms and blood lead levels in a survey of 505 patients with lead poisoning. Human & Experimental Toxicology. 1995; 14(3): 167-72.
10. Iliff TC, Renna TJ, McNally ME. Lead encephalopathy: clinical and radiologic aspects. Radiology. 1980; 135(1): 103-9.
11. Landrigan PJ, Whelton PA, Iseki K, et al. Mortality after exposure to lead: a 21-year follow-up of a catastrophic poisoning in New Zealand. American Journal of Epidemiology. 1994; 140(6): 569-77.
12. Brulfert L, Pujol H, Akl M, et al. Lead intoxication in pregnancy and fetal development: long-term follow-up. International Journal of Hygiene and Environmental Health. 1996; 100(1): 35-43.
13. Maes A, Calderon P, Maghlaoui A, et al. Changes in serum ceruloplasmin, alpha 2 globulin, ceruloplasmin electrophoretic mobility, and homocysteine levels during 20-year follow-up in lead-intoxicated children. Archives of Environmental Health. 1995; 50(2): 157-61.
14. van Bemmel T, Sohnot J. Clinical neurotoxicology of lead. Journal of the Neurological Sciences. 1991; 102(1-2): 135-41.
15. Gadenne C, Frezal
