Nous rapportons le cas d'un patient de 18 ans, issue d'un mariage consanguin, sans antécédents pathologiques, qui a bénéficié en novembre 2005, de quelques soins locaux en raison de douleurs osseuses diffuses chez un pharmacienne qui lui a bu une préparation contenant du plomb. Le bilan radiographique a montré la présence du plomb dans le tube digestif et l'ostéonécrose aseptique. Une radiographie du bassin, une radiographie du rachis dorsolombaire, une biopsie de l'osiliaque fémorale ont montré la présence de la drépanocytose. L'électrophorèse d'hémoglobine a confirmé la drépanocytose à 79%. Le patient a bénéficié d'une chirurgie de biopsie osseuse et une chélatisation par le DMPS, avec une amélioration clinique et radiologique.

La pathogénie de la drépanocytose a été discutée, sans qu'on puisse montrer une relation de cause à effet avec la nécrose osseuse due au plomb.

Un syndrome de drépanocytose malin a été évoqué par ses auteurs.

Le but de cette revue est de rappeler le diagnostic de la drépanocytose malin ainsi que ses complications osseuses associées. Il est nécessaire de faire, en cas de récidive, un bilan étiologique afin de proposer un traitement qui permet de réduire l'étendue de la nécrose osseuse.

### référence:
Mignot A, Thein STL. Hémoglobine S. Cahiers Rhumatologiques 2003; 41:18-25.

Widemann B, Schéibel J. La drépanocytose: étiologie, physiopathologie et prise en charge. Revue Medecine Interne 2003; 24(4):229-238.

Schwarz J. Traité des maladies des os et du Tendons. 7eme édition. Masson 1999; 45-71.

Mery-Bailis JL. Traité des maladies de la colonne vertébrale. Masson. 1998; 40-43.

Sanchez-San Martin C, Negre-Buclas C, Fauconnier J, Saraux A. Osseous infarcts associated with lead poisoning: report of 3 cases. Revue Rhumatologique 2003; 60(5):342-347.

Seddiki N, Vrabie G, Zerai L, Horma M. Lead poisoning: a rare et unusual cause of osteonecrosis. Revue de Rhumatologie. 2003; 60(2):132-134.

Yamaguchi M, Horie M, Shiota K, Kakuta K. Lead-induced osteonecrosis. Diagnosis by scintiscanning of a lead line. Rheumatology International 1988; 8:43-46.

Bard R, Rolland A. Nécrose osseuse aseptique de l'humérus au plomb. Revue Rhumatologique 2002; 61(3):202-203.

Gowrishankar M, et al. Lead toxicity in lead-acetate cellulose insulation workers: report of four cases. Industrial Health 2004; 42:41-44.

Bainbridge D, Fitzpatrick J, Cullingford H, Burnell P, Pye M. Chronic lead intoxication as a cause of osteonecrosis of bone. Annals of the Royal College of Surgeons of England 2000; 82(3):162-164.

Bernard A, Lescop E, Fiorelli A, Delay J. Necrose osseuse aseptique partielle compliquant une drépanocytose chez un adolescent. Revue Rhumatologique 2000; 60(1):57-60.

Gomot M, Jolles S, Ruffié A. Nécrose osseuse partielle asymptomatique due à la drépanocytose. Revue Rhumatologique 1997; 55(4):242-244.

Scheibel J, Uziel M. Drépanocytose: un aspect rhumatologique. Revue Rhumatologique 2004; 61(1):68-74.

Bard R, Rolland A, Vignaud JM, Guégot J. Lead enchondralosteonecrosis in a patient with alpha thalassemia major (drénacocytosis). Revue Rhumatologique 2004; 61(6):434-436.

Bard R, Rolland A, Vignaud JM. Osteonecrose dans la drépanocytose. Revue Rhumatologique 2002; 61
