Un patient de 18 ans de sexe masculin, d'origine africaine et n'ayant pas de notices d'hospitalisation antérieure, admis dans notre formation pour prise en charge de douleurs osseuses diffuses. Ses antécédents comprenaient la notion de deux frères décédes par drépanocytose; l'un lorsqu'il était âgé de 18 ans et l'autre lorsqu'il était âgé de 20 ans.
Les douleurs avaient commencé il y a trois jours par des douleurs lombaires droites avec impotence fonctionnelle partielle et arrêt des transports. On notait une agitation et de la tachycardie. Elle s'est compliquée dans les heures qui ont suivi par des douleurs rachidiennes droites intenses à type de brûlure accompagnées d'une impotence fonctionnelle. La radiographie du rachis dorsolombaire ( Figure 1 ) avait montré une ostéonécrose aseptique lombo-dorsale droite du L2 jusqu'au L4. La radiographie du bassin avait noté un ostéonécrose L4 droite de l'ombilic jusqu'à la 12 ème côte. Le bilan radiologique s'était complété par une sérologie VIH négative. L'évolution a été marquée par l'installation rapide d'une desaturation et d'une tachypnée, faisant suite à l'admission du patient dans notre formation où le bilan initial ( Figure 2 ) avait mis en évidence une hémoglobine à 5g/100ml avec des globules blancs à 3400/ml et des globules rouges à 13000/ml. Le bilan biologique avait montré une anémie hypochrome microcytaire à 6g/100ml, une hyperleucocytose (polynucléaires neutrophiles à 18000/mm3, lymphocytes à 1200/mm3) et une thrombopénie à 83000/mm3. Le bilan des hémostases était normal. L'enzyme des transporter de l'ions calcium (E.T.C) était normale. L'électrophorèse d'hémoglobine avait mis en évidence une hémoglobine S à 79%. Devant cette image radiologique et biologique, nous avons considéré le diagnostic d'ostéonécrose surdrôle d'origine toxique (plomb) survenant en rapport avec le fait d'avoir ingéré de la « Jich » ou du «H2O2» qui est une préparation contenant du plomb, vendue aux portes des marchés africains, pendant une durée de trois jours. Devant l'absence de manipulation d'autres substances, notre hypothèse avait été retenue. Un bilan biologique a été réalisé afin de rechercher la présence du plomb dans le tube digestif (tableau I) qui s'est avéré positif au tout sonde gastroduodénale. Une ostéospondylographie L4-5 a été réalisée et a mis en évidence une ostéonécrose L4 droite ( Figure 3 ). Après prise en charge initial et de la nécrose, une ostéosynthèse par fibulaires a été réalisée ( Figure 4 ). L'évolution était favorable et le patient avait quitté le service après un recul de 25 jours.

L'étude histologique avait trouvé une ostéonécrose aseptique lombo-dorsale droite du L2 jusqu'au L4 ainsi qu'une ostéonécrose L4 droite de l'ombilic jusqu'à la 12 ème côte. En effet, il s'agissait d'une ostéonécrose surdrôle à type aseptique avec une destruction complète de l'émail osseux, la colloïde n'étant pas soluble.

La précaution nécessaire a été prise auprès de l'équipe technique et des personnes ayant été à l'âge de 18 ans au contact de ce produit.

Tableau I: Résultats des bilans biologiques faites sur le patient à J30.

Catégorie | Résultats
--- | ---
Celui | du bilan
Blood lead levels | 24µg/dl
Hémoglobine | 9,1g/dl
Hématies | 3500/mm3
Globules blancs | 8000/mm3
Globules rouges | 24000/mm3
Hémoglobine S | 16g/dl
Globules rouge fonctionnels | 822500/mm3
Lyse 16g/100ml | 24g/100ml
Créatininémie | 8mg/l
Chorion | 86,73g/l
PAL actif | 355U/l
PAL inactif | 23U/l
Cys-T, Gla-T | 0,145U/l
Homocyctéine | 0,55%
HBP-G/l | 4,5
Lactate deshydrogène | 3,7mmol/l
Troponine | 0,28
